0 1 2 3 
0 1 5 6 
0 2 10 12 
0 3 15 18 
0 4 20 24 
0 5 10 15 
0 6 12 18 
1 2 3 4 
1 2 6 7 
1 3 11 13 
1 4 16 19 
1 6 11 16 
1 7 13 19 
2 3 7 8 
2 4 12 14 
2 7 12 17 
3 4 8 9 
3 7 11 15 
3 8 13 18 
4 8 12 16 
4 9 14 19 
5 6 7 8 
5 6 10 11 
5 7 15 17 
5 8 20 23 
5 10 15 20 
5 11 17 23 
6 7 8 9 
6 7 11 12 
6 8 16 18 
6 9 21 24 
6 11 16 21 
6 12 18 24 
7 8 12 13 
7 9 17 19 
7 12 17 22 
8 9 13 14 
8 12 16 20 
8 13 18 23 
9 13 17 21 
9 14 19 24 
10 11 12 13 
10 11 15 16 
10 12 20 22 
11 12 13 14 
11 12 16 17 
11 13 21 23 
12 13 17 18 
12 14 22 24 
13 14 18 19 
15 16 17 18 
15 16 20 21 
16 17 18 19 
16 17 21 22 
17 18 22 23 
18 19 23 24 
20 21 22 23 
21 22 23 24 
